Cons
Running CVC: false
DFSPriority
Eager
Size bound: 20
Depth bound: 4
=====

[16:06:41.998544]	BEG Init search
[16:06:42.008963]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: _1_ -> _2_, tr: L
[16:06:42.025922]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V -> _2_, tr: L
[16:06:42.027286]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V -> _3_ -> _4_, tr: L
[16:06:42.027895]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V -> V -> _4_, tr: L
[16:06:42.028387]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V -> V -> V, tr: L
[16:06:42.030639]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V -> V -> L, tr: L
[16:06:42.031239]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V -> L -> _4_, tr: L
[16:06:42.031747]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V -> L -> V, tr: L
[16:06:42.032506]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V -> L -> L, tr: L
[16:06:42.033371]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: L -> _2_, tr: L
[16:06:42.034275]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: L -> _3_ -> _4_, tr: L
[16:06:42.035084]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: L -> V -> _4_, tr: L
[16:06:42.035802]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: L -> V -> V, tr: L
[16:06:42.036511]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: L -> V -> L, tr: L
[16:06:42.037309]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: L -> L -> _4_, tr: L
[16:06:42.038085]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: L -> L -> V, tr: L
[16:06:42.039168]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: L -> L -> L, tr: L
[16:06:42.039750]	END Init search : 66 ms
[16:06:42.040489]	BEG Compile Init to Elab
[16:06:42.043521]	END Compile Init to Elab : 3 ms
[16:06:42.044345]	BEG Elab search
[16:06:42.044842]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V_5_ -> V_6_ -> V_7_, tr: L
[16:06:42.047430]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V0 -> V_6_ -> V_7_, tr: L
[16:06:42.048359]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V0 -> V0 -> V_7_, tr: L
[16:06:42.049074]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V0 -> V0 -> V0, tr: L
[16:06:42.049979]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V0 -> V0 -> V1, tr: L
[16:06:42.050694]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V0 -> V1 -> V_7_, tr: L
[16:06:42.051154]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V0 -> V1 -> V0, tr: L
[16:06:42.052057]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V0 -> V1 -> V1, tr: L
[16:06:42.053127]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V0 -> V1 -> V2, tr: L
[16:06:42.053660]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V_8_ -> V_9_ -> L, tr: L
[16:06:42.054486]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V0 -> V_9_ -> L, tr: L
[16:06:42.055207]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V0 -> V0 -> L, tr: L
[16:06:42.055901]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V0 -> V1 -> L, tr: L
[16:06:42.056410]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V_10_ -> L -> V_11_, tr: L
[16:06:42.056954]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V0 -> L -> V_11_, tr: L
[16:06:42.057539]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V0 -> L -> V0, tr: L
[16:06:42.058238]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V0 -> L -> V1, tr: L
[16:06:42.058762]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V_12_ -> L -> L, tr: L
[16:06:42.059282]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: V0 -> L -> L, tr: L
[16:06:42.059722]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: L -> V_13_ -> V_14_, tr: L
[16:06:42.060217]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: L -> V0 -> V_14_, tr: L
[16:06:42.060684]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: L -> V0 -> V0, tr: L
[16:06:42.061240]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: L -> V0 -> V1, tr: L
[16:06:42.061670]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: L -> V_15_ -> L, tr: L
[16:06:42.062096]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: L -> V0 -> L, tr: L
[16:06:42.062457]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: L -> L -> V_16_, tr: L
[16:06:42.062839]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: L -> L -> V0, tr: L
[16:06:42.063168]	Exploring 0: L, LLi: L, Li: L, []b: L, cons: L -> L -> L, tr: L
[16:06:42.063483]	END Elab search : 19 ms
[16:06:42.064164]	BEG Compile Elab to Concrete
[16:06:42.753238]	END Compile Elab to Concrete : 689 ms
[16:06:42.754234]	BEG Concrete search
[16:06:42.754439]	BEG Depth 2
[16:06:42.754525]	BEG Size 1
[16:06:42.754703]	Exploring 0: L0[], LLi: L0[], Li: L0[], []b: L3[], cons: V0 -> V0 -> V0, tr: L3[]
[16:06:42.756134]	END Size 1 : 2 ms
[16:06:42.756298]	BEG Size 2
[16:06:42.756513]	Exploring 0: L0[], LLi: L0[], Li: L0[], []b: L3[], cons: V0 -> V0 -> V0, tr: L3[]
[16:06:42.756871]	END Size 2 : 0 ms
[16:06:42.756972]	BEG Size 3
