Dict
Running CVC: false
DFSPriority
Eager
Size bound: 20
Depth bound: 4
=====

[16:08:20.723669]	BEG Init search
[16:08:20.733851]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: _1_ -> _2_, tr: L
[16:08:20.749404]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V -> _2_, tr: L
[16:08:20.751078]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V -> _3_ -> _4_, tr: L
[16:08:20.751828]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V -> V -> _4_, tr: L
[16:08:20.752717]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V -> V -> _5_ -> _6_, tr: L
[16:08:20.753418]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V -> V -> V -> _6_, tr: L
[16:08:20.754113]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V -> V -> V -> V, tr: L
[16:08:20.756045]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V -> V -> V -> L, tr: L
[16:08:20.756936]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V -> V -> L -> _6_, tr: L
[16:08:20.757483]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V -> V -> L -> V, tr: L
[16:08:20.758348]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V -> V -> L -> L, tr: L
[16:08:20.759251]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V -> L -> _4_, tr: L
[16:08:20.759991]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V -> L -> _5_ -> _6_, tr: L
[16:08:20.760508]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V -> L -> V -> _6_, tr: L
[16:08:20.760966]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V -> L -> V -> V, tr: L
[16:08:20.761598]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V -> L -> V -> L, tr: L
[16:08:20.762211]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V -> L -> L -> _6_, tr: L
[16:08:20.762847]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V -> L -> L -> V, tr: L
[16:08:20.763864]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V -> L -> L -> L, tr: L
[16:08:20.764840]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> _2_, tr: L
[16:08:20.765516]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> _3_ -> _4_, tr: L
[16:08:20.766034]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V -> _4_, tr: L
[16:08:20.766880]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V -> _5_ -> _6_, tr: L
[16:08:20.767538]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V -> V -> _6_, tr: L
[16:08:20.768066]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V -> V -> V, tr: L
[16:08:20.768657]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V -> V -> L, tr: L
[16:08:20.769104]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V -> L -> _6_, tr: L
[16:08:20.769487]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V -> L -> V, tr: L
[16:08:20.769871]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> V -> L -> L, tr: L
[16:08:20.770322]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> L -> _4_, tr: L
[16:08:20.770742]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> L -> _5_ -> _6_, tr: L
[16:08:20.771072]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> L -> V -> _6_, tr: L
[16:08:20.771490]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> L -> V -> V, tr: L
[16:08:20.771890]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> L -> V -> L, tr: L
[16:08:20.772291]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> L -> L -> _6_, tr: L
[16:08:20.772606]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> L -> L -> V, tr: L
[16:08:20.773254]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: L -> L -> L -> L, tr: L
[16:08:20.773647]	END Init search : 71 ms
[16:08:20.774277]	BEG Compile Init to Elab
[16:08:20.777038]	END Compile Init to Elab : 3 ms
[16:08:20.777569]	BEG Elab search
[16:08:20.778042]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V_7_ -> V_8_ -> V_9_ -> V_10_, tr: L
[16:08:20.780090]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V_8_ -> V_9_ -> V_10_, tr: L
[16:08:20.781019]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V0 -> V_9_ -> V_10_, tr: L
[16:08:20.781841]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V0 -> V0 -> V_10_, tr: L
[16:08:20.782655]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V0 -> V0 -> V0, tr: L
[16:08:20.783838]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V0 -> V0 -> V1, tr: L
[16:08:20.785038]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V0 -> V1 -> V_10_, tr: L
[16:08:20.785875]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V0 -> V1 -> V0, tr: L
[16:08:20.786817]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V0 -> V1 -> V1, tr: L
[16:08:20.787773]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V0 -> V1 -> V2, tr: L
[16:08:20.788608]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V_9_ -> V_10_, tr: L
[16:08:20.789157]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V0 -> V_10_, tr: L
[16:08:20.789649]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V0 -> V0, tr: L
[16:08:20.790365]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V0 -> V1, tr: L
[16:08:20.791137]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V0 -> V2, tr: L
[16:08:20.791945]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V1 -> V_10_, tr: L
[16:08:20.792497]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V1 -> V0, tr: L
[16:08:20.793195]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V1 -> V1, tr: L
[16:08:20.793877]	Exploring 0: L, 1: L, Ebi: L, Eib: L, Eii: L, put: V0 -> V1 -> V1 -> V2, tr: L
